荒井,あらい,124000,11.0
平井,ひらい,124000,6.03
大島,おおしま,124000,3.04
西山,にしやま,124000,4.73
早川,はやかわ,124000,7.21
栗原,くりはら,123000,7.14
広瀬,ひろせ,123000,9.92
横田,よこた,119000,10.08
石橋,いしばし,118000,6.44
岩本,いわもと,118000,12.34
片山,かたやま,118000,8.15
萩原,はぎわら,117000,7.76
関口,せきぐち,115000,8.35
宮田,みやた,115000,8.3
大石,おおいし,114000,6.35
本間,ほんま,114000,11.19
須藤,すどう|すとう,113000,13.92
高山,こうざん|たかやま,113000,1.87
岡崎,おかざき,112000,3.96
小田,おだ,112000,5.5
吉野,よしの,112000,3.82
鎌田,かまた|かまだ,111000,14.63
伊東,いとう,111000,3.73
篠原,しのはら,110000,8.2
上原,うえはら|かんばる,109000,5.12
小西,こにし,109000,8.1
松原,まつばら,108000,4.43
福井,ふくい,108000,0.72
成田,なりた,108000,2.51
古賀,こが,107000,9.71
大森,おおもり,107000,5.08
南,みなみ,107000,0.25
小泉,こいずみ,106000,2.25
奥村,おくむら,106000,12.22
内山,うちやま,106000,12.34
沢田,さわだ,105000,14.43
桑原,くわばら|くわはら,105000,13.84
三宅,みやけ|みあけ,105000,7.95
片岡,かたおか,105000,8.74
川島,かわしま,104000,6.77
岡,おか,104000,2.73
富田,とみた|とみだ,104000,9.5
奥田,おくだ,103000,7.81
八木,やぎ,103000,8.2
杉浦,すぎうら,103000,9.1
松永,まつなが,103000,10.39
小沢,おざわ|こざわ,102000,5.02
北川,きたがわ,102000,2.66
平山,ひらやま,101000,7.59
河合,かわい,101000,6.91
牧野,まきの,101000,7.5
関根,せきね,101000,14.85
白石,しろいし|しらいし,100000,3.66
今村,いまむら,99000,13.95
寺田,てらだ,98700,9.5
青山,せいざん|あおやま,98300,1.44
中尾,なかお,97400,12.82
小倉,おぐら,96700,2.9
上村,うえむら|かみむら|こうむら,96500,12.57
小野寺,おのでら,96500,19.76
渋谷,しぶや|しぶたに,96500,0.81
大山,おおやま|だいせん,95700,3.26
岡村,おかむら,95300,10.31
坂口,さかぐち,95300,10.56
足立,あだち|あしだて,95200,3.8
多田,ただ,94300,13.44
天野,あまの,94300,7.67
根本,こんぽん|ねもと,93100,0.44
佐久間,さくま,92900,12.82
豊田,とよた,92300,3.77
村山,むらやま,92000,10.0
角田,かくだ|かくた|つのだ|すみだ|すみた|かどた,91800,10.48
飯塚,いいづか,91700,9.3
田島,たじま,91600,11.28
西,にし,91500,0.27
武藤,むとう|ぶとう,91100,10.82
竹田,たけた,91000,9.85
宮下,みやした,90700,13.69
白井,しろい|しらい,90500,9.5
児玉,こだま,90100,11.68
塚本,つかもと,90000,12.69
坂田,さかた,89800,11.38
坂井,さかい,89500,9.1
水谷,みずたに,89400,10.0
榎本,えのきもと|えのもと,89200,15.75
神谷,かみや|かんだに,88900,8.41
小原,おばら|こばる|おはら,87400,14.0
齋藤,さいとう,87200,10.23
小笠原,おがさわら|おがさはら,87200,6.17
森下,もりした,86700,6.47
浅井,あさい,86500,12.57
岡部,おかべ,86500,11.89
中井,なかい,86300,7.95
植田,うえだ,86300,13.41
神田,しんでん|かんだ|こうだ,86300,2.91
河村,かわむら|こうむら,85400,12.82
前川,まえかわ,84800,15.05
宮川,みやがわ|みやかわ,84800,9.92
稲垣,いながき,84400,13.95
大川,おおかわ,84100,7.81
長田,ながた|おさだ|ちょうだ,82600,10.73
松崎,まつざき|まつさき,82600,13.88
若林,わかばやし,82300,10.31
飯島,いいじま,81700,8.68
谷,たに,81500,0.82
安部,あべ,80900,11.48
大沢,おおさわ,80700,7.9
石塚,いしづか,80600,17.51
及川,おいかわ,80100,12.57
堀内,ほりうち,80000,13.79
田代,たしろ,79100,9.92
中嶋,なかしま,78900,10.56
山根,やまね,78900,15.53
江口,えぐち,78700,11.68
中谷,なかたに,78500,11.79
岸本,きしもと,77700,14.22
荒川,あらかわ,77400,3.3
西尾,にしお,77300,8.1
本多,ほんだ,77300,12.57
森山,もりやま,77000,7.81
今野,こんの|いまの,76700,14.63
細川,いささがわ|ほそかわ,76600,9.1
岡野,おかの,76200,14.39
金井,かない,76000,16.71
安達,あだち|あんだつ|あんだち,75600,11.68
戸田,とだ,75600,4.3
稲葉,いなば,75400,9.71
津田,つだ,75300,10.82
森川,もりかわ,75100,13.28
土井,どい,75000,12.82
星,ほし|あかり|せい|ひかり,74900,0.24
村松,むらまつ,74700,18.21
落合,おちあい,74600,7.67
畠山,はたけやま,74500,22.07
三上,みかみ,74200,14.88
町田,まちだ,73600,2.91
長尾,ながお,72900,14.06
岩井,いわい,72700,10.39
中原,なかはら,72600,1.78
堤,つつみ,72300,4.49
野崎,のざき,70900,20.15
中沢,なかざわ,70400,13.74
米田,よねだ|まいた|めた,70300,23.36
金田,かねだ|かなだ,70300,9.78
松山,まつやま,70000,2.22
堀田,ほった,69500,16.5
三好,みよし,69400,5.76
